date,temperature,humidity,updates
2025-03-24,32.2,38.0,3
2025-03-25,32.3,38.0,3
2025-03-26,31.3,59.0,3
2025-03-27,33.8,28.0,3
2025-03-28,32.8,40.0,3
2025-03-29,33.0,15.5,3
2025-03-30,34.0,25.0,3
2025-03-31,35.0,53.0,3
2025-04-01,35.7,51.0,3
2025-04-02,33.3,52.0,3
2025-04-03,31.5,63.25,3
2025-04-04,33.25,47.0,3
2025-04-05,37.0,17.0,3
2025-04-06,37.7,19.0,3
2025-04-07,34.3,44.25,3
2025-04-08,32.7,60.25,3
2025-04-09,33.7,56.0,3
2025-04-10,33.0,64.0,3
2025-04-11,32.3,69.0,3
2025-04-12,33.3,61.0,3
2025-04-13,32.8,71.0,3
2025-04-14,35.6,56.0,3
